site_id,survey_id,treatment,indicator,count,common_name,species,origin,family,type,mean_length,max_length,min_length
C-ADQ23-HI-01,S1,hive,TRUE,5,Orange-spotted grouper,Epinephelus coioides,,,Fish,45,50,40
C-ADQ23-HI-01,S1,hive,FALSE,6,Orange-spotted grouper,Epinephelus coioides,,,Fish,30,,
C-ADQ23-HI-01,S1,hive,FALSE,60,Rubberlip grunts,Plectorhinchus mediterraneus,,,Fish,45,50,40
C-ADQ23-HI-01,S1,hive,TRUE,72,Diadema setosum,Diadema setosum,"(Leske, 1778)",Diadematidae ,Invert,,,
C-ADQ23-HI-01,S1,hive,FALSE,1,Yellowbar angelfish,Pomacanthus maculosus,,,Fish,,,
C-ADQ23-HI-01,S1,hive,FALSE,1,Reticulated filefish,Stephanolepis diaspros,,,Fish,,,
C-ADQ23-HI-01,S1,hive,FALSE,2,Indian Ocean twospot cardinalfish,Cheilodipterus novemstriatus,,,Fish,,,
C-ADQ23-HI-01,S1,hive,FALSE,1,Pickhandle barracuda,Sphyraena jello,,,Fish,,,
C-ADQ23-HI-01,S1,hive,FALSE,,Horn drupe,Drupella cornus,,,Invert,,,
C-ADQ23-HI-01,S1,control,FALSE,4,Pickhandle barracuda,Sphyraena jello,,,Fish,,,
C-ADQ23-HI-01,S1,control,FALSE,2,Yellowbar angelfish,Pomacanthus maculosus,,,Fish,,,
C-ADQ23-HI-01,S2,hive,TRUE,4,Orange-spotted grouper,Epinephelus coioides,,,Fish,40,50,30
C-ADQ23-HI-01,S2,hive,TRUE,5,Orange-spotted grouper,Epinephelus coioides,,,Fish,30,,
C-ADQ23-HI-01,S2,hive,FALSE,15,Minstrel sweetlips,Plectorhinchus schotaf,,,Fish,,,
C-ADQ23-HI-01,S2,hive,FALSE,36,Black spotted grunt,Lutjanus fulviflamma,,,Fish,,,
C-ADQ23-HI-01,S2,hive,TRUE,95,Diadema setosum,Diadema setosum,"(Leske, 1778)",Diadematidae ,Invert,,,
C-ADQ23-HI-01,S2,control,TRUE,10,Diadema setosum,Diadema setosum,"(Leske, 1778)",Diadematidae ,Invert,,,
C-ADQ23-HI-01,S3,hive,TRUE,4,Orange-spotted grouper,Epinephelus coioides,,,Fish,30,,
C-ADQ23-HI-01,S3,hive,FALSE,28,Grey Grunt,Plectorhincus sordidus,,,Fish,,,
C-ADQ23-HI-01,S3,hive,TRUE,1,Parrotfish,Scaridae,,,Fish,30,,
C-ADQ23-HI-01,S3,hive,TRUE,108,Diadema setosum,Diadema setosum,,,Invert,,,
C-ADQ23-HI-01,S3,hive,TRUE,5,Haemulidae,Haemulidae,,,Fish,,,
C-ADQ23-HI-01,S3,hive,TRUE,2,Snapper,Lutjanidae,,,Fish,,,
C-ADQ23-HI-01,S3,hive,FALSE,2,Yellowbar angelfish,Pomacanthus maculosus,,,Fish,,,
C-ADQ23-HI-01,S3,control,FALSE,9,Pickhandle barracuda,Sphyraena jello,,,Fish,,,
C-ADQ23-HI-01,S3,control,TRUE,4,Diadema setosum,Diadema setosum,,,Invert,,,
C-ADQ23-HI-01,S3,control,FALSE,2,Yellowbar angelfish,Pomacanthus maculosus,,,Fish,,,
C-ADQ23-HI-01,S3,control,FALSE,6,Twobar Seabream,Acanthopagrus bifasciatus,,,Fish,,,
C-ADQ23-HI-01,S3,control,FALSE,5,White fish with black spots,Unkown,,,Fish,,,
C-ADQ23-HI-01,S3,control,FALSE,8,Arabian Monocle Bream,Scolopsis ghanam,,,Fish,,,
C-SNG23-MI-01,S1,hive,FALSE,3,Whitecheek monocle bream,Scolopsis vosmeri ,"(Bloch, 1792)",Nemipteridae,Fish,,,
C-SNG23-MI-01,S1,hive,TRUE,3,Rusell's snapper,Lutjanus russellii,"(Bleeker, 1849)",Lutjanidae,Fish,,,
C-SNG23-MI-01,S1,hive,FALSE,1,Pointed goatfish,Parupeneus biaculeatus ,"(Richardson, 1846)",Mullidae,Fish,,,
C-SNG23-MI-01,S1,hive,FALSE,2,Doublebar cardinalfish,Apogonichthyoides sialis ,"(Jordan & Thompson, 1914)",Apogonidae,Fish,,,
C-SNG23-MI-01,S1,hive,FALSE,1,Indo-Pacific sergeant,Abudefduf vaigiensis ,"(Quoy & Gaimard, 1825)",Pomacentridae,Fish,,,
C-SNG23-MI-01,S1,hive,FALSE,6,Common black sea cucumber,Holothuria leucospilota ,"(Brandt, 1835)",Holothuriidae,Invert,,,
C-SNG23-MI-01,S1,hive,FALSE,5,Edible sea cucumber,Colochirus quadrangularis,"(Troschel, 1846)",Cucumariidae,Invert,,,
C-SNG23-MI-01,S1,hive,TRUE,2,Diadema setosum,Diadema setosum,"(Leske, 1778)",Diadematidae ,Invert,,,
C-SNG23-MI-01,S1,hive,TRUE,2,Purple sea urchin,Heliocidaris crassispina,"(A. Agassiz, 1864)",Echinometridae,Invert,,,
C-SNG23-MI-01,S1,hive,FALSE,2,Green sea urchin,Strongylocentrotus droebachiensis,(O. F. Müller 1776),Strongylocentrotidae,Invert,,,
C-SNG23-MI-01,S1,hive,FALSE,2,Chinese demoiselle,Neopomacentrus bankieri,"(Richardson, 1846)",Pomacentridae,Invert,,,
C-SNG23-MI-01,S1,hive,TRUE,2,Cowies,Cypraea arabica,"(Linnaeus, 1758)",Cypraeidae,Invert,,,
C-SNG23-MI-01,S1,hive,FALSE,2,Rock crab,Cancer productus,"(Randall, 1840)",Cancridae ,Invert,,,
C-SNG23-MI-01,S1,control,FALSE,5,Indo-Pacific sergeant,Neopomacentrus bankieri ,"(Richardson, 1846)",Neopomacentrus,Fish,,,
C-SNG23-MI-01,S1,control,TRUE,22,Diadema setosa,Diadema setosum,"(Leske, 1778)",Diadematidae ,Invert,,,
C-SNG23-MI-01,S1,control,TRUE,10,Purple sea urchin,Heliocidaris crassispina,"(A. Agassiz, 1864)",Echinometridae,Invert,,,
C-SNG23-MI-01,S1,control,FALSE,3,Edible sea cucumber,Colochirus quadrangularis,"(Troschel, 1846)",Cucumariidae,Invert,,,
C-SNG23-MI-01,S1,control,FALSE,2,Common black sea cucumber,Holothuria leucospilota ,"(Brandt, 1835)",Holothuriidae,Invert,,,
C-SNG23-MI-01,S2,hive,FALSE,1,Bubblefin wrasse,Halichoeres nigrescens,,,Fish,6,,
C-SNG23-MI-01,S2,hive,TRUE,1,Russell’s snapper,Lutjanus russellii,,,Fish,4,,
C-SNG23-MI-01,S2,hive,TRUE,1,Diadema setosa,Diadema setosum,"(Leske, 1778)",Diadematidae ,Invert,,,
C-SNG23-MI-01,S2,hive,TRUE,1,Purple sea urchin,Heliocidaris crassispina,"(A. Agassiz, 1864)",Echinometridae,Invert,,,
C-SNG23-MI-01,S2,hive,FALSE,2,Common black sea cucumber,Holothuria leucospilota ,"(Brandt, 1835)",Holothuriidae,Invert,,,
C-SNG23-MI-01,S2,hive,FALSE,6,Edible sea cucumber,Colochirus quadrangularis,"(Troschel, 1846)",Cucumariidae,Invert,,,
C-SNG23-MI-01,S2,hive,TRUE,1,Cowies,Cypraea arabica,"(Linnaeus, 1758)",Cypraeidae,Invert,,,
C-SNG23-MI-01,S2,control,FALSE,1,Bubblefin wrasse,Halichoeres nigrescens,,,Fish,2,,
C-SNG23-MI-01,S2,control,TRUE,3,Painted sweetlips,Diagramma pictum,,Haemulidae,Fish,15,10,20
C-SNG23-MI-01,S2,control,FALSE,1,Chinese demoiselle,Neopomacentrus bankieri,,,Fish,2,,
C-SNG23-MI-01,S2,control,FALSE,6,Regal demoiselle,Neopomacentrus cyanomos,,,Fish,6,5,8
C-SNG23-MI-01,S2,control,TRUE,10,Diadema setosa,Diadema setosum,"(Leske, 1778)",Diadematidae ,Invert,,,
C-SNG23-MI-01,S2,control,TRUE,3,Purple sea urchin,Heliocidaris crassispina,"(A. Agassiz, 1864)",Echinometridae,Invert,,,
C-SNG23-MI-01,S2,control,FALSE,3,Common black sea cucumber,Holothuria leucospilota ,"(Brandt, 1835)",Holothuriidae,Invert,,,
C-SNG23-MI-01,S2,control,FALSE,2,Edible sea cucumber,Colochirus quadrangularis,"(Troschel, 1846)",Cucumariidae,Invert,,,
C-CSS23-BI-01,S1,hive,FALSE,2,Doublebar cardinalfish,Apogonichthyoides sialis ,"(Jordan & Thompson, 1914)",Apogonidae,Fish,5,,
C-CSS23-BI-01,S1,hive,TRUE,1,Eightband butterflyfish,Chaetodon octofasciatus,"(Bloch, 1787)",Chaetodontidae,Fish,8,,
C-CSS23-BI-01,S1,hive,FALSE,30,Chinese demoiselle,Neopomacentrus bankieri,"(Richardson, 1846)",Pomacentridae,Fish,6,4,7
C-CSS23-BI-01,S1,hive,FALSE,22,Regal demoiselle,Neopomacentrus cyanomos,"(Bleeker, 1856)",Pomacentridae,Fish,5,4,7
C-CSS23-BI-01,S1,hive,FALSE,4,Yellowtail clownfish,Amphiprion clarkii,"(Bennett, 1830)",Pomacentridae,Fish,8,,
C-CSS23-BI-01,S1,hive,FALSE,2,Striped dartfish,Parioglossus dotui,"(Tomiyama, 1958)",Ptereleotridae,Fish,4,,
C-CSS23-BI-01,S1,hive,FALSE,1,Bubblefin wrasse,Halichoeres nigrescens,"(Bloch & Schneider, 1801)",Labridae,Fish,8,,
C-CSS23-BI-01,S1,hive,FALSE,1,Freckled goatfish,Upeneus tragula,"(Richardson, 1846)",Mullidae,Fish,4,,
C-CSS23-BI-01,S1,hive,FALSE,2,Green sea urchin,Strongylocentrotus droebachiensis,(O. F. Müller 1776),Strongylocentrotidae,Invert,,,
C-CSS23-BI-01,S1,hive,TRUE,16,Diadema setosum,Diadema setosum,"(Leske, 1778)",Diadematidae ,Invert,,,
C-CSS23-BI-01,S1,hive,FALSE,1,Short silverbiddy,Gerres spp.,"(Bloch, 1791)",Gerreidae,Fish,8,,
C-CSS23-BI-01,S1,hive,TRUE,1,Pennant coralfish,Heniochus acuminatus,"(Linnaeus, 1758)",Chaetodontidae,Fish,8,,
C-CSS23-BI-01,S1,hive,TRUE,1,Banded coral shrimp,Stenopus hispidus,,Stenopodidae,Invert,,,
C-CSS23-BI-01,S1,control,FALSE,4,Yellowtail clownfish,Amphiprion clarkii,"(Bennett, 1830)",Pomacentridae,Fish,8,,
C-CSS23-BI-01,S1,control,FALSE,10,Chinese demoiselle,Neopomacentrus bankieri,"(Richardson, 1846)",Pomacentridae,Fish,4,3,5
C-CSS23-BI-01,S1,control,FALSE,45,Regal demoiselle,Neopomacentrus cyanomos,"(Bleeker, 1856)",Pomacentridae,Fish,6,5,7
C-CSS23-BI-01,S1,control,TRUE,1,Mirror butterflyfish,Chaetodon speculum,"(Cuvier, 1831)",Chaetodontidae,Fish,10,,
C-CSS23-BI-01,S1,control,TRUE,2,Eightband butterflyfish,Chaetodon octofasciatus,"(Bloch, 1787)",Chaetodontidae,Fish,5,4,6
C-CSS23-BI-01,S1,control,TRUE,1,Moon wrasse,Thalassoma lunare,"(Linnaeus, 1758)",Labridae,Fish,6,,
C-CSS23-BI-01,S1,control,FALSE,1,False stonefish,Scorpaenopsis diabolus,"(Cuvier, 1829)",Scorpaenidae,Fish,15,,
C-CSS23-BI-01,S1,control,FALSE,1,Bubblefin wrasse,Halichoeres nigrescens,"(Bloch & Schneider, 1801)",Labridae,Fish,8,,
C-CSS23-BI-01,S1,control,TRUE,15,Diadema setosum,Diadema setosum,"(Leske, 1778)",Diadematidae ,Invert,,,
