id,client_code,site_id,survey_id,survey_type,status,done,baseline,start_date,end_date,agents,transplanting,reef_check,sfm,vid360,edna,dir,rc_path,sfm_path,vid360_path,exp360_id,report_date,report_link,report_id,report_author,report_status,remarks
C-ADQ23-HI-01-SA,ADQ,C-ADQ23-HI-01,SA,assessment,done,TRUE,FALSE,15/02/2023,15/02/2023,"VY, MY",FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,not done,
C-ADQ23-HI-01-S1,ADQ,C-ADQ23-HI-01,S1,quarterly,done,TRUE,TRUE,06/05/2023,07/05/2023,"JD, VY, LZ, MY",TRUE,FALSE,TRUE,TRUE,FALSE,link,link,link,link,ff8e98be-b797-4213-a6c0-cde604535f2a,20/05/2023,link,C-ADQ23-HI-01-R1,VY,done,
C-ADQ23-HI-01-S2,ADQ,C-ADQ23-HI-01,S2,quarterly,done,TRUE,FALSE,09/08/2023,09/08/2023,"VY, LZ, DT, MY",FALSE,TRUE,TRUE,TRUE,FALSE,link,link,link,link,69a211c4-f831-402a-9338-0f78d9b52177,23/08/2023,link,C-ADQ23-HI-01-R2,VY,done,
C-SNG23-MI-01-S1,SNG,C-SNG23-MI-01,S1,quarterly,done,TRUE,TRUE,11/09/2023,11/09/2023,JW,FALSE,TRUE,TRUE,TRUE,FALSE,link,link,link,link,,25/09/2023,link,C-SNG23-MI-01-R1,"HW, JW",not done,
C-SNG23-MI-01-M1,SNG,C-SNG23-MI-01,M1,mitigation ,done,TRUE,FALSE,11/10/2023,11/10/2023,JW,TRUE,FALSE,TRUE,FALSE,FALSE,link,link,link,,,25/10/2023,link,C-SNG23-MI-01-R1,"HW, JW",not done,reseed corals on 25 tiles - new baseline
C-ADQ23-HI-01-S3,ADQ,C-ADQ23-HI-01,S3,quarterly,done,TRUE,FALSE,24/10/2023,24/10/2023,"VY, LZ, DT ",FALSE,TRUE,FALSE,TRUE,FALSE,link,link,,,,07/11/2023,link,C-ADQ23-HI-01-R3,"HW, JW",not done,
C-CSS23-BI-01-M1,CSS,C-CSS23-BI-01,M1,mitigation,done,TRUE,FALSE,25/10/2023,25/10/2023,JW,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,,08/11/2023,link,C-CSS23-BI-01-R1,VY,done,deploy additional 35 tiles - new baseline
C-CSS23-BI-01-S0,CSS,C-CSS23-BI-01,S0,baseline,done,TRUE,TRUE,25/10/2023,25/10/2023,JW,TRUE,TRUE,TRUE,TRUE,FALSE,link,link,,,,08/11/2023,link,C-CSS23-BI-01-R0,VY,done,
C-SNG23-MI-01-S2,SNG,C-SNG23-MI-01,S2,quarterly,done,TRUE,FALSE,24/11/2023,24/11/2023,JW,FALSE,TRUE,TRUE,TRUE,FALSE,,link,,,,08/12/2023,link,C-SNG23-MI-01-R2,"HW, JW",not done,1.5 month from Oct 11 new deployment
C-EPH24-HI-01-SA,EPH,C-EPH24-HI-01,SA,assessment,done,TRUE,FALSE,28/02/2024,28/02/2024,"RY, JW, MY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,, C-EPH24-HI-SA,,,
C-EPH24-HI-02-SA,EPH,C-EPH24-HI-02,SA,assessment,done,TRUE,FALSE,28/02/2024,28/02/2024,"RY, JW, MY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,, C-EPH24-HI-SA,,,
C-EPH24-HB-01-SA,EPH,C-EPH24-HB-01,SA,assessment,done,TRUE,FALSE,28/02/2024,28/02/2024,"RY, JW, MY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,, C-EPH24-HI-SA,,,
C-CSS23-BI-01-SA,CSS,C-CSS23-BI-01,SA,assessment,not done,FALSE,FALSE,,,,,,,,,,,,,,,,,,not done,
C-SNG23-MI-01-SA,SNG,C-SNG23-MI-01,SA,assessment,not done,FALSE,FALSE,,,,,,,,,,,,,,,,,,not done,
C-CSS23-BI-01-S0,CSS,C-CSS23-BI-01,S0,baseline,not done,FALSE,FALSE,22/02/2023,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
C-SNG23-MI-01-S0,SNG,C-SNG23-MI-01,S0,baseline,not done,FALSE,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,07/06/2023,link,C-SNG23-MI-01-R0,VY,done,
C-ADQ23-HI-01-S4,ADQ,C-ADQ23-HI-01,S4,annual,done,TRUE,FALSE,11/02/2024,11/02/2024,MY,FALSE,TRUE,TRUE,FALSE,FALSE,link,link,,,,25/02/2024,link,C-ADQ23-HI-01-R4,"HW, JW",not done,
C-CSS23-BI-01-S1,CSS,C-CSS23-BI-01,S1,annual,to do,FALSE,FALSE,22/02/2024,,JW,,,,,,,link,,,,23/03/2024,link,C-CSS23-BI-01-R1,"HW, JW",not done,
C-SNG23-MI-01-S3,SNG,C-SNG23-MI-01,S3,quarterly,to do,FALSE,FALSE,24/02/2024,,JW,,,,,,,link,,,,09/03/2024,link,C-SNG23-MI-01-R3,"HW, JW",not done,
W-ADP24-AA-01-S1,ADP,W-ADP24-AA-01,S1,bimonthly,to do,FALSE,FALSE,28/02/2024,,"JW, LZ",,,,,,,,,,,13/03/2024,link,W-ADP24-AA-01-R1,JW,not done,
W-ADP24-AA-01-S2,ADP,W-ADP24-AA-01,S2,bimonthly,to do,FALSE,FALSE,29/04/2024,,"JW, LZ",,,,,,,,,,,13/05/2024,link,W-ADP24-AA-01-R2,JW,not done,
C-SNG23-MI-01-S4,SNG,C-SNG23-MI-01,S4,quarterly,to do,FALSE,FALSE,24/05/2024,,JW,,,,,,,link,,,,07/06/2024,link,C-SNG23-MI-01-R4,"HW, JW",not done,
C-ADQ23-HI-01-S5,ADQ,C-ADQ23-HI-01,S5,quarterly,to do,FALSE,FALSE,11/06/2024,,"LZ, MY",,,,,,link,link,,,,25/06/2024,link,C-ADQ23-HI-01-R5,"HW, JW",not done,
W-ADP24-AA-01-S3,ADP,W-ADP24-AA-01,S3,bimonthly,to do,FALSE,FALSE,28/06/2024,,"JW, LZ",,,,,,,,,,,12/07/2024,link,W-ADP24-AA-01-R3,JW,not done,
C-SNG23-MI-01-S5,SNG,C-SNG23-MI-01,S5,quarterly,to do,FALSE,FALSE,24/08/2024,,JW,,,,,,,,,,,07/09/2024,link,C-SNG23-MI-01-R5,"HW, JW",not done,
W-ADP24-AA-01-S4,ADP,W-ADP24-AA-01,S4,bimonthly,to do,FALSE,FALSE,28/08/2024,,"JW, LZ",,,,,,,,,,,11/09/2024,link,W-ADP24-AA-01-R4,JW,not done,
C-ADQ23-HI-01-S6,ADQ,C-ADQ23-HI-01,S6,quarterly,to do,FALSE,FALSE,11/09/2024,,"LZ, MY",,,,,,link,link,,,,25/09/2024,link,C-ADQ23-HI-01-R6,"HW, JW",not done,
W-ADP24-AA-01-S5,ADP,W-ADP24-AA-01,S5,bimonthly,to do,FALSE,FALSE,28/10/2024,,"JW, LZ",,,,,,,,,,,11/11/2024,link,W-ADP24-AA-01-R5,JW,not done,
C-SNG23-MI-01-S6,SNG,C-SNG23-MI-01,S6,quarterly,to do,FALSE,FALSE,24/11/2024,,JW,,,,,,,link,,,,08/12/2024,link,C-SNG23-MI-01-R6,"HW, JW",not done,
C-ADQ23-HI-01-S7,ADQ,C-ADQ23-HI-01,S7,quarterly,to do,FALSE,FALSE,11/12/2024,,"LZ, MY",,,,,,link,link,,,,25/12/2024,link,C-ADQ23-HI-01-R7,"HW, JW",not done,
W-ADP24-AA-01-S6,ADP,W-ADP24-AA-01,S6,bimonthly,to do,FALSE,FALSE,27/12/2024,,"JW, LZ",,,,,,,,,,,10/01/2025,link,W-ADP24-AA-01-R6,JW,not done,
C-CSS23-BI-01-S2,CSS,C-CSS23-BI-01,S2,annual,to do,FALSE,FALSE,22/02/2025,,JW,,,,,,,,,,,24/03/2025,link,C-CSS23-BI-01-R2,"HW, JW",not done,
C-SNG23-MI-01-S7,SNG,C-SNG23-MI-01,S7,quarterly,to do,FALSE,FALSE,24/02/2025,,JW,,,,,,,,,,,10/03/2025,link,C-SNG23-MI-01-R7,"HW, JW",not done,
W-ADP24-AA-01-S7,ADP,W-ADP24-AA-01,S7,bimonthly,to do,FALSE,FALSE,28/02/2025,,"JW, LZ",,,,,,,,,,,14/03/2025,link,W-ADP24-AA-01-R7,JW,not done,
C-ADQ23-HI-01-S8,ADQ,C-ADQ23-HI-01,S8,annual,to do,FALSE,FALSE,11/03/2025,,"LZ, MY",,,,,,link,link,,,,25/03/2025,link,C-ADQ23-HI-01-R8,"HW, JW",not done,
C-SNG23-MI-01-S8,SNG,C-SNG23-MI-01,S8,annual,to do,FALSE,FALSE,24/05/2025,,JW,,,,,,,link,,,,07/06/2025,link,C-SNG23-MI-01-R8,"HW, JW",not done,
C-ADQ23-HI-01-S9,ADQ,C-ADQ23-HI-01,S9,quarterly,to do,FALSE,FALSE,11/06/2025,,"LZ, MY",,,,,,link,link,,,,25/06/2025,link,C-ADQ23-HI-01-R9,"HW, JW",not done,
C-SNG23-MI-01-S9,SNG,C-SNG23-MI-01,S9,quarterly,to do,FALSE,FALSE,24/08/2025,,JW,,,,,,,,,,,07/09/2025,link,C-SNG23-MI-01-R9,"HW, JW",not done,
C-ADQ23-HI-01-S10,ADQ,C-ADQ23-HI-01,S10,quarterly,to do,FALSE,FALSE,11/09/2025,,"LZ, MY",,,,,,link,link,,,,25/09/2025,link,C-ADQ23-HI-01-R10,"HW, JW",not done,
C-SNG23-MI-01-S10,SNG,C-SNG23-MI-01,S10,quarterly,to do,FALSE,FALSE,24/11/2025,,JW,,,,,,,link,,,,08/12/2025,link,C-SNG23-MI-01-R10,"HW, JW",not done,
C-ADQ23-HI-01-S11,ADQ,C-ADQ23-HI-01,S11,quarterly,to do,FALSE,FALSE,11/12/2025,,"LZ, MY",,,,,,link,link,,,,25/12/2025,link,C-ADQ23-HI-01-R11,"HW, JW",not done,
C-CSS23-BI-01-S3,CSS,C-CSS23-BI-01,S3,annual,to do,FALSE,FALSE,22/02/2026,,JW,,,,,,,,,,,24/03/2026,link,C-CSS23-BI-01-R3,"HW, JW",not done,
C-SNG23-MI-01-S11,SNG,C-SNG23-MI-01,S11,quarterly,to do,FALSE,FALSE,24/02/2026,,JW,,,,,,,,,,,10/03/2026,link,C-SNG23-MI-01-R11,"HW, JW",not done,
C-ADQ23-HI-01-S12,ADQ,C-ADQ23-HI-01,S12,annual,to do,FALSE,FALSE,11/03/2026,,"LZ, MY",,,,,,link,link,,,,25/03/2026,link,C-ADQ23-HI-01-R12,"HW, JW",not done,
C-SNG23-MI-01-S12,SNG,C-SNG23-MI-01,S12,annual,to do,FALSE,FALSE,24/05/2026,,JW,,,,,,,,,,,07/06/2026,link,C-SNG23-MI-01-R12,"HW, JW",not done,
C-ADQ23-HI-01-S0,ADQ,C-ADQ23-HI-01,S0,baseline,not done,FALSE,FALSE,,,,,,,,,,,,,,,,,,not done,